0.27 -9.58991 -14.3337 17.2816 16.4455 -14.0722 -9.87895 14.1218 13.0708 -0.922756 1.88101 -10.5674 -13.1312 -6.24166 -6.24593 -6.08711 -6.39017 -6.63756 -7.2872
0.28 -11.2416 -16.6744 19.1039 18.2734 -16.1106 -11.4979 15.4365 14.2604 -1.04559 1.9768 -11.6874 -14.7603 -5.7361 -5.58453 -5.45223 -5.81603 -6.06408 -6.78816
0.29 -13.2622 -19.4878 21.1123 20.3168 -18.517 -13.4649 16.8653 15.5081 -1.17568 2.06501 -12.9014 -16.6066 -5.10568 -4.75136 -4.65591 -5.08972 -5.342 -6.15121
0.3 -15.7384 -22.8609 23.2917 22.5718 -21.3479 -15.859 18.3923 16.7714 -1.30416 2.14029 -14.1787 -18.668 -4.31098 -3.70051 -3.65319 -4.16546 -4.43059 -5.33659
0.31 -18.7738 -26.8825 25.5993 25.0089 -24.6545 -18.7732 19.9794 17.9758 -1.41632 2.19489 -15.4598 -20.9171 -3.30133 -2.37737 -2.38968 -2.98631 -3.28035 -4.29443
0.32 -22.4885 -31.6311 27.949 27.5571 -28.469 -22.3128 21.5529 19.0009 -1.48965 2.21752 -16.643 -23.2846 -2.01453 -0.721244 -0.803653 -1.48536 -1.83429 -2.96442
0.33 -27.0159 -37.1525 30.1931 30.0828 -32.7823 -26.5891 22.9837 19.6642 -1.4925 2.19215 -17.5687 -25.6363 -0.37997 1.32705 1.16687 0.408368 -0.0332518 -1.27851
0.34 -32.4944 -43.4267 32.1048 32.3676 -37.512 -31.7082 24.0662 19.7085 -1.38437 2.09723 -18.0065 -27.745 1.67142 3.80976 3.56892 2.75569 2.17193 0.830474
0.35 -39.056 -50.3262 33.3758 34.0965 -42.4639 -37.7523 24.5008 18.8055 -1.12013 1.9063 -17.6557 -29.2672 4.18649 6.72659 6.40869 5.58114 4.79841 3.4103
0.36 -46.8144 -57.5786 33.646 34.8759 -47.3028 -44.76 23.8966 16.5899 -0.660748 1.59147 -16.176 -29.7408 7.1561 10.0013 9.61677 8.83515 7.79974 6.45823
0.37 -55.8674 -64.7585 32.5838 34.3056 -51.5588 -52.7158 21.8163 12.7394 0.00890677 1.13095 -13.2642 -28.6296 10.4742 13.4526 13.017 12.3555 11.0335 9.88153
0.38 -66.3222 -71.3301 30.0097 32.1071 -54.6975 -61.5646 17.8753 7.09122 0.860152 0.519643 -8.77265 -25.435 13.9096 16.7943 16.3239 15.8539 14.2492 13.4671
0.39 -78.344 -76.7337 26.0141 28.2697 -56.2535 -71.2537 11.8728 -0.252094 1.81129 -0.221073 -2.82556 -19.8528 17.1231 19.6859 19.1933 18.959 17.1227 16.8903
