0.01 0.0504582 0.0599924 0.104769 0.0432314 -0.0269866 0.014434 0.139475 0.113041 0.0466185 0.0541323 0.0598732 0.111408 0.00879781 -0.0912615 -0.0912517 -0.091318 -0.0913348 -0.0912586
0.02 0.0348185 0.0370489 0.139562 0.0777374 -0.0503029 -0.001347 0.170989 0.140151 0.0430808 0.0581374 0.03355 0.0806415 -0.0822509 -0.182525 -0.182436 -0.182579 -0.182696 -0.182655
0.03 0.0192347 0.014085 0.1749 0.112601 -0.0738444 -0.0171719 0.203041 0.16779 0.0396631 0.0623236 0.00724318 0.04999 -0.173122 -0.273767 -0.27353 -0.27376 -0.274062 -0.274167
0.04 0.003619 -0.00902444 0.210956 0.147991 -0.0977391 -0.0331297 0.235783 0.196091 0.0363513 0.06671 -0.0191688 0.0193087 -0.263791 -0.364965 -0.364508 -0.364837 -0.36541 -0.365774
0.05 -0.0121179 -0.0324089 0.247912 0.184085 -0.12212 -0.0493122 0.269371 0.225191 0.0331318 0.0713169 -0.0458099 -0.01155 -0.354231 -0.456094 -0.455346 -0.455787 -0.456716 -0.457454
0.06 -0.0280689 -0.0562038 0.285959 0.221066 -0.147125 -0.0658148 0.303968 0.255238 0.0299915 0.0761659 -0.0728079 -0.0427379 -0.444412 -0.547129 -0.546016 -0.546581 -0.547956 -0.549185
0.07 -0.0443313 -0.080553 0.325297 0.259129 -0.172904 -0.0827383 0.33975 0.286386 0.026917 0.0812808 -0.100296 -0.0744135 -0.534305 -0.638041 -0.636487 -0.637192 -0.639104 -0.640945
0.08 -0.0610093 -0.105611 0.366145 0.298481 -0.199614 -0.100191 0.376898 0.318803 0.0238952 0.0866868 -0.128414 -0.106744 -0.623874 -0.728802 -0.726729 -0.72759 -0.730132 -0.732713
0.09 -0.0782153 -0.131546 0.408737 0.339345 -0.227429 -0.118289 0.415611 0.352671 0.0209123 0.0924115 -0.157312 -0.139907 -0.713083 -0.819379 -0.816705 -0.81774 -0.821011 -0.824461
0.1 -0.0960725 -0.158543 0.453326 0.381962 -0.256536 -0.137161 0.456101 0.388186 0.017954 0.0984845 -0.187149 -0.174096 -0.801891 -0.909735 -0.906377 -0.907607 -0.911707 -0.916166
0.11 -0.114717 -0.186809 0.500192 0.426595 -0.287146 -0.156949 0.498598 0.425562 0.0150051 0.104938 -0.218101 -0.20952 -0.890253 -0.99983 -0.995699 -0.997148 -1.00218 -1.0078
0.12 -0.134303 -0.216573 0.549639 0.473536 -0.319491 -0.177812 0.543354 0.465037 0.0120487 0.111806 -0.250356 -0.24641 -0.978117 -1.08962 -1.08462 -1.08632 -1.0924 -1.09932
0.13 -0.155003 -0.2481 0.602007 0.523103 -0.353833 -0.199929 0.590643 0.50687 0.00906634 0.119127 -0.284126 -0.28502 -1.06543 -1.17904 -1.17309 -1.17506 -1.1823 -1.19069
0.14 -0.177016 -0.28169 0.657671 0.575653 -0.390469 -0.223506 0.640765 0.551349 0.00603677 0.126939 -0.319643 -0.325638 -1.15212 -1.26805 -1.26104 -1.26332 -1.27183 -1.28188
0.15 -0.20057 -0.317688 0.71705 0.631584 -0.429737 -0.248777 0.694053 0.598791 0.00293561 0.135285 -0.357166 -0.368586 -1.23813 -1.35655 -1.34839 -1.35103 -1.36094 -1.37283
0.16 -0.225933 -0.356497 0.780615 0.691343 -0.472026 -0.276015 0.750872 0.649553 -0.000265685 0.144211 -0.39699 -0.414231 -1.32336 -1.44448 -1.43505 -1.43811 -1.44953 -1.46347
0.17 -0.253417 -0.398589 0.84889 0.755432 -0.517783 -0.305539 0.811628 0.704026 -0.00360086 0.153764 -0.439443 -0.462992 -1.40774 -1.53171 -1.52092 -1.52446 -1.53752 -1.55373
0.18 -0.283393 -0.444518 0.92247 0.824423 -0.567529 -0.337721 0.876771 0.76265 -0.00711012 0.163992 -0.484902 -0.515348 -1.49114 -1.61814 -1.60587 -1.60997 -1.6248 -1.64352
0.19 -0.3163 -0.494942 1.00202 0.898961 -0.621872 -0.373003 0.9468 0.825914 -0.0108416 0.174948 -0.533793 -0.571856 -1.57344 -1.7036 -1.68976 -1.6945 -1.71124 -1.73273
0.2 -0.352668 -0.550644 1.08831 0.979782 -0.681526 -0.411913 1.02227 0.89436 -0.014853 0.18668 -0.586602 -0.633159 -1.6545 -1.78791 -1.7724 -1.77791 -1.79666 -1.82122
0.21 -0.393132 -0.612563 1.18217 1.06772 -0.747332 -0.455081 1.1038 0.968593 -0.0192132 0.199241 -0.643885 -0.700003 -1.73414 -1.87085 -1.85357 -1.85999 -1.88088 -1.90881
0.22 -0.438465 -0.681828 1.28459 1.16375 -0.820289 -0.503266 1.19207 1.04928 -0.0240043 0.212679 -0.706273 -0.773258 -1.81216 -1.95211 -1.933 -1.94051 -1.96363 -1.99528
0.23 -0.489607 -0.759804 1.39665 1.26895 -0.901583 -0.557389 1.28786 1.13715 -0.0293224 0.227038 -0.774486 -0.853935 -1.88829 -2.03134 -2.01034 -2.01916 -2.0446 -2.08037
0.24 -0.547713 -0.848145 1.5196 1.38457 -0.992629 -0.61857 1.39199 1.23301 -0.035279 0.242355 -0.849335 -0.943209 -1.96223 -2.1081 -2.08519 -2.09558 -2.12341 -2.16371
0.25 -0.614198 -0.948858 1.6548 1.51204 -1.09512 -0.688179 1.50541 1.33771 -0.0419996 0.258661 -0.931726 -1.04244 -2.03358 -2.1818 -2.15699 -2.16928 -2.19956 -2.24487
0.26 -0.690813 -1.06438 1.80379 1.65296 -1.21109 -0.767898 1.62914 1.45215 -0.0496207 0.275971 -1.02265 -1.15318 -2.10185 -2.25171 -2.22509 -2.23966 -2.2724 -2.32327
0.27 -0.779721 -1.19769 1.96827 1.80915 -1.34294 -0.859794 1.76427 1.57724 -0.0582826 0.294285 -1.12317 -1.27721 -2.16638 -2.3169 -2.28859 -2.30594 -2.34115 -2.39818
0.28 -0.883603 -1.35237 2.15005 1.98256 -1.49357 -0.966417 1.91197 1.71383 -0.0681159 0.313579 -1.23435 -1.41649 -2.22636 -2.37618 -2.34641 -2.36708 -2.40477 -2.46866
0.29 -1.00578 -1.53275 2.35097 2.17533 -1.66638 -1.09091 2.07339 1.86264 -0.0792191 0.333796 -1.35723 -1.57315 -2.28069 -2.42802 -2.3971 -2.42175 -2.46194 -2.53348
0.3 -1.15036 -1.74399 2.57286 2.38961 -1.86533 -1.23714 2.2496 2.02405 -0.0916247 0.354836 -1.4926 -1.74935 -2.32793 -2.47048 -2.43884 -2.46821 -2.51098 -2.59109
0.31 -1.32241 -1.99214 2.81724 2.62738 -2.09493 -1.40982 2.44144 2.19788 -0.105249 0.376534 -1.64082 -1.94714 -2.36619 -2.50112 -2.4693 -2.50421 -2.54976 -2.63946
0.32 -1.5281 -2.28407 3.085 2.89016 -2.36012 -1.61469 2.64915 2.38298 -0.119823 0.398628 -1.80147 -2.16809 -2.39303 -2.51692 -2.48556 -2.52687 -2.5756 -2.67602
0.33 -1.77489 -2.62734 3.37588 3.17846 -2.66598 -1.85853 2.87203 2.5767 -0.134808 0.420725 -1.97283 -2.41279 -2.40533 -2.51424 -2.48409 -2.53261 -2.58526 -2.69756
